month,date,year,status,ubication,turn,mining,company,level,type,veta,tajo,dominio,ton,tonh,vagones,ley_stope,cod_despacho,ley_ag,ley_fe,ley_mn,ley_pb,ley_zn,ley_original,ley_cancha2,cod_muestra3,ley_cancha3,ley_cancha_castigada,ley_inicial,rango,tmh_ag,tmh_fe,tmh_mn,tmh_pb,tmh_zn,cod_tableta,labor,date_abas,columna,timestamp,week,nro_month,carriage
AGOSTO,2023-08-01,2023,Planta,Cancha 1,SIN TURNO,UCHUCCHACUA,CIA,0,AVANCE,Cachipampa,AVANCE,Polimetálico,2506.04,2666.0,333,--,--,2.8,1.9,4.4,0.79,0.92,0.0,0,--,0,0.0,2.8,0-3,7464.799999999999,5065.4,11730.4,2106.14,2452.7200000000003,B,AVANCE,2023-12-31,--,1690866000,31,8,Vagones
AGOSTO,2023-08-01,2023,Cancha,Cancha 1,SIN TURNO,UCHUCCHACUA,CIA,0,AVANCE,Gina,AVANCE,Ag/Alabandita,924.02,983.0,123,--,--,6.6,0.0,0.3,0.8,0.7,0.0,0,--,0,0.0,6.6,5-10,6487.799999999999,0.0,294.9,786.4000000000001,688.0999999999999,--,AVANCE,2023-12-31,--,1690866000,31,8,Vagones
AGOSTO,2023-08-24,2023,Cancha,Cancha Colquicocha,SIN TURNO,YUMPAG,CIA,0,AVANCE,Camila,AVANCE,Ag/Alabandita,893.0,950.0,0,--,--,61.5,5.1,18.3,3.1,2.8,0.0,0,--,0,0.0,61.5,10,58425.0,4845.0,17385.0,2945.0,2660.0,E1,AVANCE,2023-12-31,--,1692853200,34,8,Camion
AGOSTO,2023-08-24,2023,Cancha,Cancha Colquicocha,SIN TURNO,YUMPAG,CIA,0,AVANCE,Camila,AVANCE,Ag/Alabandita,810.28,862.0,0,--,--,48.6,5.1,18.2,1.4,1.9,0.0,0,--,0,0.0,48.6,10,41893.2,4396.2,15688.4,1206.8,1637.8,E2,AVANCE,2023-12-31,--,1692853200,34,8,Camion
AGOSTO,2023-08-24,2023,Planta,Cancha Colquicocha,SIN TURNO,YUMPAG,CIA,0,AVANCE,Camila,AVANCE,Ag/Alabandita,162.09359999999998,172.44,0,--,--,18.006211320754716,5.1,13.208008086792452,0.4770026208583233,0.9702489184115226,0.0,0,--,0,0.0,18.006211320754716,10,3104.991080150943,879.444,2277.5889144864905,82.25433194080927,167.30972349088296,2,AVANCE,2023-10-29,--,1692853200,34,8,Camion
AGOSTO,2023-08-24,2023,Planta,Cancha Colquicocha,SIN TURNO,YUMPAG,CIA,0,AVANCE,Camila,AVANCE,Ag/Alabandita,1111.3149999999998,1182.25,0,--,--,18.006211320754716,5.1,13.208008086792452,0.4770026208583233,0.9702489184115226,0.0,0,--,0,0.0,18.006211320754716,10,21287.843333962264,6029.474999999999,15615.167560610376,563.9363485097527,1147.0767837920223,2,AVANCE,2023-10-30,--,1692853200,34,8,Camion
AGOSTO,2023-08-24,2023,Planta,Cancha Colquicocha,SIN TURNO,YUMPAG,CIA,0,AVANCE,Camila,AVANCE,Ag/Alabandita,867.4225999999999,922.79,0,--,--,18.006211320754716,5.1,13.208008086792452,0.4770026208583233,0.9702489184115226,0.0,0,--,0,0.0,18.006211320754716,10,16615.951744679245,4706.228999999999,12188.217782411206,440.1732485018521,895.335999420969,2,AVANCE,2023-10-30,--,1692853200,34,8,Camion
AGOSTO,2023-08-24,2023,Planta,Cancha Colquicocha,SIN TURNO,YUMPAG,CIA,0,AVANCE,Camila,AVANCE,Ag/Alabandita,623.4549999999999,663.25,0,--,--,18.006211320754716,5.1,13.208008086792452,0.4770026208583233,0.9702489184115226,0.0,0,--,0,0.0,18.006211320754716,10,11942.619658490565,3382.575,8760.211363565093,316.3719882842829,643.5175951364424,2,AVANCE,2023-10-31,--,1692853200,34,8,Camion
AGOSTO,2023-08-24,2023,Planta,Cancha Colquicocha,SIN TURNO,YUMPAG,CIA,0,AVANCE,Camila,AVANCE,Ag/Alabandita,324.2624,344.96,0,--,--,18.006211320754716,5.1,13.208008086792452,0.4770026208583233,0.9702489184115226,0.0,0,--,0,0.0,18.006211320754716,10,6211.422657207547,1759.2959999999998,4556.234469619924,164.5468240912872,334.69706689523883,2,AVANCE,2023-10-31,--,1692853200,34,8,Camion
AGOSTO,2023-08-24,2023,Planta,Cancha Colquicocha,SIN TURNO,YUMPAG,CIA,0,AVANCE,Camila,AVANCE,Ag/Alabandita,989.4627999999998,1052.62,0,--,--,18.006211320754716,5.1,13.208008086792452,0.4770026208583233,0.9702489184115226,0.0,0,--,0,0.0,18.006211320754716,10,18953.698160452823,5368.361999999999,13903.01347231947,502.1024987678882,1021.3034164983368,2,AVANCE,2023-11-01,--,1692853200,34,8,Camion
